paper,year,species,type/morphology,location,ocean/sea,latitude,longitude,water depth [m],carbonate  production (g m-2 yr-1),method growth/calcification rate,method carbonate production,study-type,data-source,carbonate prod.?
Ragazzzola et al 2021,2021,Ellisolandia elongata,geniculate,Gulf of La Spezia,"Ligurian Sea, North-West Mediterranean Sea",44◦ 04′ 51.79′′ N,9◦ 52′ 53.98′′ E,"0,5",,,alkalinity anomaly technique,laboratory,calculated,x
Amado-Filho et al. 2012,2012,Hydrolithon rupestre,rhodolith,Eastern tropical coast of Brazil,Abrolhos Shelf,19°45'S,16°50'W,"0,2-1,1",1.0 +/- 0.7 kg m-2 yr-1,in situ,"mean density, dimension, and percent live surface data",laboratory,calculated,x
Amado-Filho et al. 2012,2012,Lithophyllum stictaeforme,rhodolith,Eastern tropical coast of Brazil,Abrolhos Shelf,19°45'S,16°50'W,"0,2-1,2",1.0 +/- 0.7 kg m-2 yr-1,in situ,"mean density, dimension, and percent live surface data",laboratory,calculated,x
Amado-Filho et al. 2012,2012,Mesophyllum engelhartii,rhodolith,Eastern tropical coast of Brazil,Abrolhos Shelf,19°45'S,16°50'W,"0,2-1,3",1.0 +/- 0.7 kg m-2 yr-1,in situ,"mean density, dimension, and percent live surface data",laboratory,calculated,x
Amado-Filho et al. 2012,2012,Sporolithon episporum,rhodolith,Eastern tropical coast of Brazil,Abrolhos Shelf,19°45'S,16°50'W,"0,2-1,4",1.0 +/- 0.7 kg m-2 yr-1,in situ,"mean density, dimension, and percent live surface data",laboratory,calculated,x
Amado-Filho et al. 2012,2012,Neogoniolithon brassica-florida,rhodolith,Eastern tropical coast of Brazil,Abrolhos Shelf,19°45'S,16°50'W,"0,2-1,5",1.0 +/- 0.7 kg m-2 yr-1,in situ,"mean density, dimension, and percent live surface data",laboratory,calculated,x
Amado-Filho et al. 2012,2012,Lithothamnion crispatum,rhodolith,Eastern tropical coast of Brazil,Abrolhos Shelf,19°45'S,16°50'W,"0,2-1,6",1.0 +/- 0.7 kg m-2 yr-1,in situ,"mean density, dimension, and percent live surface data",laboratory,calculated,x
Basso 2012,2012,Porolithon onkodes,,"Rangiroa, Polynesia",,,,CCA-dominated reef flat,7400,,,,literature,x
Basso 2012,2012,Porolithon onkodes,,"Penguin Bank, Hawaii",Pengiun Bank,,,40-100,2100,,,,literature,x
Basso 2012,2012,Lithothamnion corallioides,maerl,"maerl of Brittany, France",,,,0-10,876,,,,literature,x
Basso 2012,2012,Lithophyllum cabiochae,,NW Mediterranean,NW Mediterranean ,,,25 m aquarium simulation,292,,,laboratory,literature,x
Basso 2012,2012,Lithothamnion corallioides,,"maerl of Mannin Bay, NE Atlantic",,,,0-10,29-164,,,,literature,x
Basso 2012,2012,Phymatolithon calcareum,maerl,"maerl of Mannin Bay, NE Atlantic",,,,0-10,79-249,,,,literature,x
Blake and Maggs 2003,2003,Phymatolithon calcareum,maerl,"Rainey Island, Strangford Lough, Northern Ireland",,,,3-4,,in situ2,,laboratory,,
Blake and Maggs 2003,2003,Lithothamnion corallioides,maerl,"Coral Strand, Greatman's Bay, Co. Galway, western Ireland",,,,3-4,,in situ2,,laboratory,,
Blake and Maggs 2003,2003,Lithothamnion glaciale,maerl,"Rainey Island, Strangford Lough, Northern Ireland",,,,3-4,,in situ2,,laboratory,,
